Brand,Model,Company,1 stars,2 stars,4 stars,3 stars,5 stars,SSD,Colours,Operating system,Hard disk,Model Number,Processor,Graphics Processor,Dedicated Graphics,Finger Print Sensor,Resolution,Wi-Fi standards supported,Weight (kg),Dimensions (mm),Bluetooth version,Number of USB Ports,Series,Internal Mic,Touch Screen,Product Name,Touchpad,Battery Cell,Pointer Device,USB Ports,Cache,Mic In,Speakers,Multi Card Slot,RJ45 (LAN),HDMI Port,Ethernet,Price_Clean,RAM_GB,Screen_Size_inch,Base_Clock_Speed_GHz,Total_Ratings
Dell,G3,dell,0,13,13,13,63,0.0,White,Windows 10,128GB,G3,Intel Core i7 8750H,Nvidia GeForce GTX 1050 Ti,Unknown,0.0,1920x1080 pixels,802.11 ac,2.53,58.42 x 258.00 x 38.00,,1.0,Unknown,Unknown,0.0,"Dell G3 Laptop (Windows 10, 8GB RAM, 128GB HDD, Intel Core i5, Black, 15.6 inch)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,SDXC Card Reader,Unknown,Standard,10/100/1000 Base T,95000,8.0,15.6,2.2,8.0
HP,15-BQ276NR,hp,0,0,0,0,0,0.0,Black,Windows 10,No,15-BQ276NR,AMD Ryzen 5 2500U,Nvidia GeForce GTX 1050,Unknown,0.0,1920x1080 pixels,802.11 b/g/n/ac,2.15,381.00 x 210.00 x 40.00,4.2,3.0,Unknown,Unknown,0.0,"HP 15-BQ276NR Laptop (Windows 10, 12GB RAM, 1000GB HDD, AMD Ryzen 5, Black, 15.6 inch)",Unknown,3,Touchpad,Unknown,6MB,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,133358,12.0,15.6,2.0,
HP,ChromeBook 3PH11UA,hp,0,0,0,0,0,0.0,Black,Chrome OS,No,3PH11UA,Intel Core m3,Unknown,Unknown,0.0,2400x1600 pixels,802.11 ac,1.65,208.00 x 292.10 x 30.48,4.2,2.0,ChromeBook,Unknown,0.0,"HP Chromebook 3PH11UA Laptop (Chrome, 4GB RAM, 32GB HDD, Intel Core m3, Black, 12.3 inch)",Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,SD Card Reader,Yes,Standard,Unknown,80295,4.0,12.5,2.16,
HP,15-DB0076NR,hp,0,0,0,0,0,0.0,Black,Windows 10,500GB,15-DB0076NR,AMD Ryzen 3,Unknown,Unknown,0.0,1920x1080 pixels,802.11 ac,2.04,246.00 x 37.60 x 23.00,4.2,2.0,Unknown,Unknown,0.0,"HP 15-DB0076NR Laptop (Windows 10, 8GB RAM, 500GB HDD, AMD Ryzen 3, Black, 15.6 inch)",Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,SD Card Reader,Yes,Standard,Unknown,49220,8.0,15.6,2.16,
Lenovo,Miix 510,lenovo,0,0,0,0,0,0.0,Silver,Windows 10,No,510,Intel Core i5 6200U,Unknown,Unknown,0.0,Unknown,Unknown,1.2,300.00 x 203.00 x 38.10,4.0,2.0,Miix,Unknown,1.0,"Lenovo Miix 510 Laptop (Windows 10, 8GB RAM, 128GB HDD, Intel Core i5, Silver, 12.2 inch)",Unknown,2,Unknown,1 x USB 3.0,Unknown,Unknown,Stereo Speakers,Unknown,Unknown,Unknown,Unknown,118299,8.0,12.5,2.5,
MSI,Stealth GS65,msi,0,0,0,0,0,0.0,Black,Windows 10 Professional,512GB,GS65,Intel Core i7 8th Gen 8750H,Nvidia GeForce GTX 1070,Unknown,0.0,1920x1080 pixels,802.11 ac,1.88,358.14 x 248.92 x 17.78,5.0,3.0,Stealth,Unknown,1.0,"MSI Stealth GS65 Laptop (Windows 10 Pro, 8GB RAM, 512GB HDD, Intel Core i7, Black, 15.6 inch)",Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Mini,Unknown,258808,8.0,15.6,3.9,
Dell,Inspiron i3000,dell,44,8,15,4,29,0.0,Black,Windows 10,No,i3000,AMD APU Dual Core A6,Unknown,Unknown,0.0,1366x768 pixels,802.11 ac,1.2,330.00 x 38.10 x 43.18,4.2,2.0,Inspiron,Unknown,0.0,"Dell Inspiron i3000 Laptop (Windows 10, 4GB RAM, 32GB HDD, AMD A6, Black, 11.6 inch)",Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,33277,4.0,11.6,2.16,48.0
Acer,ChromeBook 14 CB3-431,acer,0,0,0,0,0,0.0,Silver,Chrome OS,32GB,14 CB3-431,Intel Celeron Dual Core N3060,Intel HD Graphics 400,No,0.0,1366x768 pixels,802.11 a/b/g/n/ac,1.68,431.80 x 341.00 x 236.60,,3.0,ChromeBook,Yes,0.0,"Acer Chromebook 14 CB3-431 Laptop (Chrome, 4GB RAM, 32GB HDD, Intel Celeron, Silver, 14.0 Inch)",Unknown,3,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Standard,Unknown,57813,4.0,14.0,1.6,
Toshiba,Satellite Pro A40-CX4100,toshiba,0,0,0,0,0,0.0,Black,Windows 10,500GB,Pro A40-CX4100,Intel Core i5,Unknown,Unknown,0.0,1920x1080 pixels,802.11 ac,1.37,42.20 x 35.20 x 7.00,4.2,3.0,Satellite,Yes,0.0,"Toshiba Satellite Pro A40-CX4100 Laptop (Windows 10, 4GB RAM, 500GB HDD, Intel Core i5, Black, 14 inch)",Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,SD Card Reader,Yes,Standard,Unknown,42500,4.0,14.0,2.16,
iBall,Slide WQ149R,iball,13,13,38,13,25,0.0,Special Grey,Windows 10,No,Slide WQ149R,Intel Atom Quad Core,Unknown,Unknown,0.0,1280x800 pixels,802.11 ac,1.96,467.36 x 262.00 x 33.02,4.2,2.0,Unknown,Yes,0.0,"iBall Slide WQ149R Laptop (Windows 10, 2GB RAM, 32GB HDD, Intel Atom, Grey, 10.1 inch)",Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,SD Card Reader,Yes,Standard,Unknown,68500,2.0,10.1,2.16,16.0
Asus,ROG Strix GL702VM,asus,0,0,0,0,0,0.0,Silver,Windows 10 Home,128GB,GL702VM,Intel Core i7 7700HQ,Nvidia GeForce GTX 1070,Unknown,0.0,1920x1080 pixels,802.11 ac,2.9,76.20 x 277.00 x 41.10,4.1,1.0,ROG Strix,Unknown,0.0,"Asus Rog Strix GL702VM Laptop (Windows 10 Home, 16GB RAM, 128GB HDD, Intel Core i7, Silver, 17.3 inch)",Unknown,4,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Standard,Unknown,207873,16.0,17.3,2.16,
Lenovo,ThinkPad T470,lenovo,0,0,0,0,0,0.0,Black,Windows 10 Professional,No,T470,Intel Core i5 7th Gen 7200U,Unknown,Unknown,0.0,1366x768 pixels,802.11 ac,1.63,132.08 x 33.80 x 20.00,4.0,2.0,ThinkPad,Yes,0.0,"Lenovo Thinkpad T470 Laptop (Windows 10 Pro, 8GB RAM, 256GB HDD, Intel Core i5, Black, 14.0 Inch)",Yes,1,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Unknown,Unknown,122513,8.0,14.0,2.5,
iBall,Slide WQ149,iball,50,0,0,0,50,0.0,Black,Windows 8 Professional,No,Slide WQ149,Intel Atom Quad Core Z3735D,Intel Integrated Graphics,No,0.0,1280x800 pixels,802.11 b/g/n,2.1,Unknown,4.0,3.0,Unknown,Yes,1.0,"iBall Slide WQ149 Laptop (Windows 8, 2GB RAM, 32GB HDD, Intel Atom, Black, 10.1 inch)",Yes,Unknown,Touchpad,Unknown,2MB,Unknown,Unknown,Unknown,Unknown,Mini,Unknown,12999,2.0,10.1,1.33,2.0
Acer,ChromeBook C738T-C44Z,acer,14,0,14,0,71,0.0,Black,Chrome OS,16GB,C738T-C44Z,Intel Celeron Dual Core N3150,Intel HD Graphics,No,0.0,1366x768 pixels,802.11 a/b/g/n/ac,1.25,19.30 x 293.88 x 8.03,,3.0,ChromeBook,Yes,0.0,"Acer Chromebook C738T-C44Z Laptop (Chrome, 4GB RAM, 16GB HDD, Intel Celeron, Black, 11.6 inch)",Unknown,3,Touchpad,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,48475,4.0,11.6,1.6,7.0
Acer,Aspire VN7 5913G-73KV,acer,17,6,17,6,56,0.0,Black,Windows 10,1TB,VN7 5913G-73KV,Intel Core i7,Unknown,Unknown,0.0,1920x1080 pixels,802.11 ac,2.1,266.00 x 39.10 x 21.00,4.2,2.0,Aspire,Yes,0.0,"Acer Aspire Vn7 5913G-73KV Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,SD Card Reader,Yes,Unknown,Unknown,92102,16.0,15.6,2.16,18.0
Asus,S510UN-BQ256T,asus,0,0,0,0,0,0.0,Gold,Windows 10,1TB,S510UN-BQ256T,Intel Core i5,Unknown,Unknown,0.0,1920x1080 pixels,802.11 ac,1.7,243.00 x 36.10 x 45.72,4.2,3.0,Unknown,Unknown,0.0,"Asus S510UN-BQ256T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Gold, 15.6 inch)",Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,SD Card Reader,Yes,Standard,Unknown,60497,8.0,15.6,2.16,
MSI,Dominator GT72-2QD,msi,0,0,0,0,0,0.0,Black,Windows 8 Professional,No,GT72-2QD,Intel Core i7 5th Gen,Nvidia GeForce GTX 970M,Unknown,0.0,1920x1080 pixels,802.11 b/ac,2.1,Unknown,4.0,6.0,Dominator,Yes,0.0,"MSI Dominator GT72-2QD Laptop (Windows 8.1, 8GB RAM, 1000GB HDD, Intel Core i7, Black)",Unknown,Unknown,Unknown,6 x USB 3.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Killer GB LAN,145999,8.0,17.3,2.7,
Lenovo,IdeaPad U510,lenovo,0,0,0,0,0,0.0,Grey,Windows 8,1TB,U510,Intel Core i5,Unknown,Unknown,0.0,1366x768 pixels,802.11 ac,2.2,250.00 x 38.20 x 21.00,4.2,3.0,IdeaPad,Unknown,0.0,"Lenovo Ideapad U510 Laptop (Windows 8, 4GB RAM, 1000GB HDD, Intel Core i5, Grey, 15.6 inch)",Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,SD Card Reader,Yes,Standard,Unknown,58000,4.0,15.6,2.16,
HP,15-BS654TU,hp,0,0,0,0,0,0.0,Black,Windows 10,1TB,15-BS654TU,Intel Core i3 6th Gen,Unknown,Unknown,0.0,1920x1080 pixels,802.11 ac,2.1,Unknown,4.2,3.0,Unknown,Yes,0.0,"HP 15-BS654TU Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",Yes,4,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Standard,Unknown,39990,4.0,15.6,2.3,
Asus,X541NA-G0121,asus,0,0,0,0,0,0.0,Space Grey,DOS,1TB,X541NA-G0121,Intel Pentium Dual Core,Unknown,Unknown,0.0,1920x1080 pixels,802.11 ac,2.6,292.00 x 50.20 x 6.20,4.2,3.0,Unknown,Yes,0.0,"Asus X541NA-G0121 Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Pentium, Space Grey, 15.6 inch)",Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,SD Card Reader,Yes,Standard,Unknown,22999,4.0,15.6,2.16,
Asus,A555LA-XX2064T,asus,0,0,0,0,0,0.0,Black,Windows 10 Home,1TB,A555LA-XX2064T,Intel Core i3 5th Gen,Intel Integrated Graphics,No,0.0,1366x768 pixels,802.11 b/g/n,2.1,Unknown,4.0,3.0,A Series,Yes,0.0,"Asus A555LA-XX2064T Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",Unknown,Unknown,Unknown,"2 x USB 2.0, 1 x USB 3.0",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10/100/1000 Base T,30990,4.0,15.6,2.16,
HP,NoteBook 15-BW500AX,hp,11,0,56,0,33,0.0,Sparkling Black,Windows 10 Home,No,15-BW500AX,AMD APU Quad Core A10,AMD Radeon 530 Graphics,Unknown,0.0,1920x1080 pixels,802.11 b/g/n,2.1,Unknown,4.0,3.0,NoteBook,Yes,0.0,"HP Notebook 15-BW500AX Laptop (Windows 10, 4GB RAM, 2000GB HDD, AMD Black, 15.6 inch)",Yes,Unknown,Touchpad,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,10/100/1000 Base T,39978,4.0,15.6,2.16,9.0
Dell,Inspiron 15R-I15RM-5128SLV,dell,0,0,0,0,0,0.0,Silver,Windows 10,No,15R-I15RM-5128SLV,Intel Core i5 4th Gen 4200U,Intel HD Graphics 4400,No,0.0,1366x768 pixels,802.11 b/g/n,2.35,313.00 x 259.00 x 376.00,4.0,3.0,Inspiron,Yes,0.0,"Dell Inspiron 15R-I15RM-5128SLV Laptop (Windows 10, 6GB RAM, 500GB HDD, Intel Core i5, Silver, 15.6 inch)",Unknown,Unknown,Touchpad,Unknown,Unknown,Unknown,Stereo Speakers,Unknown,Unknown,Unknown,Unknown,61010,6.0,15.6,1.6,
Asus,Q524,asus,32,5,13,11,39,0.0,Blue,Windows 10,2TB,Q524,Intel Core i7 7th Gen 7500U,Nvidia GeForce 940MX,Unknown,0.0,1920x1080 pixels,Unknown,2.3,58.42 x 254.00 x 38.10,,1.0,Unknown,Unknown,0.0,"Asus Q524 Laptop (Windows 10, 12GB RAM, 2000GB HDD, Intel Core i7, Blue, 15.6 inch)",Unknown,4,Unknown,1 x USB 3.0,4MB,Unknown,Yes,Unknown,Unknown,Standard,Unknown,115452,12.0,15.6,2.7,38.0
Lenovo,IdeaPad 330S-15IKB,lenovo,0,0,0,0,0,0.0,Silver,Windows 10,1TB,330S-15IKB,Intel Core i3 7020U,Intel HD Graphics,No,0.0,1920x1080 pixels,802.11 ac,1.8,48.26 x 244.00 x 35.80,4.1,1.0,IdeaPad,Unknown,0.0,"Lenovo Ideapad 330S-15IKB Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Silver, 15.6 inch)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,2 Speakers,4 in 1 Card Reader,Unknown,Standard,Unknown,30999,4.0,15.6,2.29,
Asus,ZenBook 3 Deluxe UX490UA-BE010T,asus,0,0,0,0,0,0.0,Blue,Windows 10,No,Deluxe UX490UA-BE010T,Intel Core i7 8th Gen 8550U,Unknown,Unknown,0.0,1920x1080 pixels,802.11 a/b/g/n,1.09,322.58 x 213.40 x 330.20,4.1,2.0,ZenBook 3,Unknown,0.0,"Asus ZenBook 3 Deluxe UX490UA-BE010T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Blue, 14.0 Inch)",Unknown,4,Touchpad,Unknown,Unknown,Unknown,2 Speakers,Unknown,Unknown,Unknown,Unknown,84000,16.0,14.0,2.16,
